#DEPTH,AC,DEN,CNL
2100,342.38,1.84,36
2100.125,352.44,1.83,41.77
2100.25,362.7,1.82,48
2100.375,372.63,1.83,53.77
2100.5,377.01,1.83,59
2100.625,378.32,1.84,60.93
2100.75,378.43,1.85,61
2100.875,378.23,1.84,60.04
2101,375.95,1.81,60
2101.125,364.83,1.77,58.08
2101.25,349.02,1.75,54
2101.375,341.16,1.76,49.19
2101.5,335.24,1.8,46
2101.625,326.66,1.85,46
2101.75,323.06,1.89,49
2101.875,327.8,1.93,49
2102,330.1,1.98,47
2102.125,327.58,2.03,44.11
2102.25,323.23,2.08,43
2102.375,319.77,2.11,43
2102.5,316.41,2.11,43
2102.625,310.05,2.08,42.04
2102.75,298.71,2.04,41
2102.875,286.56,1.98,41
2103,277.08,1.95,42
2103.125,273.78,1.96,42.96
2103.25,275.84,2,42
2103.375,279.31,2.06,41.04
2103.5,280.06,2.1,41
2103.625,282.53,2.1,43.89
2103.75,295.11,2.06,49
2103.875,316.73,2.02,55.74
2104,351.48,2.02,60
2104.125,385.77,2.07,60
2104.25,401.41,2.14,58
2104.375,389.04,2.19,53.19
2104.5,362.43,2.23,48
2104.625,332.87,2.25,43.19
2104.75,309.99,2.25,41
2104.875,304.08,2.25,39.08
2105,305.67,2.25,39
2105.125,303.26,2.23,39.96
2105.25,291.19,2.21,43
2105.375,275.2,2.21,46.85
2105.5,264.15,2.22,49
2105.625,263.03,2.23,47.08
2105.75,267.47,2.24,44
2105.875,277.35,2.25,41.11
2106,291.8,2.25,42
2106.125,305.19,2.22,45.85
2106.25,320.75,2.15,52
2106.375,335.83,2.08,57.77
2106.5,346.24,2.04,61
2106.625,344.99,2.03,59.08
2106.75,335.48,2.05,54
2106.875,328.6,2.07,51.11
2107,324.04,2.09,50
2107.125,320.94,2.11,49.04
2107.25,315.58,2.13,46
2107.375,301.17,2.14,41.19
2107.5,283.95,2.14,37
2107.625,278.42,2.11,32.19
2107.75,278.22,2.07,29
2107.875,277.11,2.05,27.08
2108,277.25,2.05,26
2108.125,271.61,2.09,23.11
2108.25,256.9,2.17,21
2108.375,242.32,2.28,18.11
2108.5,231.26,2.38,16
2108.625,222.19,2.46,16
2108.75,214.74,2.5,16
2108.875,209.54,2.49,16
2109,205.91,2.41,17
2109.125,209.35,2.24,18.93
2109.25,225.97,2,23
2109.375,254.93,1.81,26.85
2109.5,293.3,1.69,31
2109.625,329.14,1.66,32.93
2109.75,366.17,1.65,37
2109.875,385.9,1.67,42.77
2110,387.98,1.69,48
2110.125,382.2,1.71,50.89
2110.25,370.38,1.72,54
2110.375,348.99,1.71,57.85
2110.5,327.48,1.68,60
2110.625,319.42,1.65,57.11
2110.75,315.47,1.66,52
2110.875,318.42,1.74,49.11
2111,331.51,1.85,49
2111.125,340.58,1.96,49
2111.25,335.78,2.02,48
2111.375,327.59,2.04,47.04
2111.5,319.67,2.04,46
2111.625,311.91,2.03,46
2111.75,308.32,2.03,44
2111.875,310.22,2.06,43.04
2112,306.03,2.12,43
2112.125,295.82,2.17,44.93
2112.25,286.26,2.18,47
2112.375,279,2.12,47.96
2112.5,275.99,2,49
2112.625,289.62,1.89,47.08
2112.75,311.01,1.82,44
2112.875,319.65,1.8,42.08
2113,315.33,1.83,42
2113.125,308.69,1.87,41.04
2113.25,299.79,1.95,39
2113.375,297.02,2.06,38.04
2113.5,305.64,2.19,37
2113.625,313.43,2.29,36.04
2113.75,306.96,2.36,34
2113.875,290.68,2.38,31.11
2114,267.34,2.37,28
2114.125,246.95,2.35,26.08
2114.25,235.48,2.31,25
2114.375,234.1,2.28,25
2114.5,232.14,2.24,25
2114.625,232.03,2.15,25.96
2114.75,243.27,2,28
2114.875,261.1,1.89,28.96
2115,277.48,1.85,29
2115.125,284.4,1.87,27.08
2115.25,283.72,1.93,25
2115.375,272.52,2.01,24.04
2115.5,255.19,2.06,23
2115.625,243.25,2.07,23.96
2115.75,239.71,2.08,24
2115.875,241.47,2.09,24
2116,242.96,2.1,25
2116.125,242.06,2.1,26.93
2116.25,240.84,2.1,27
2116.375,242.07,2.08,27
2116.5,249.59,2.04,27
2116.625,258.97,1.96,28.93
2116.75,270.02,1.85,33
2116.875,285.87,1.74,37.81
2117,299.24,1.67,41
2117.125,298.67,1.65,41
2117.25,299.86,1.65,39
2117.375,303.83,1.66,36.11
2117.5,296.5,1.68,33
2117.625,287.51,1.72,32.04
2117.75,283.15,1.78,31
2117.875,273.92,1.86,30.04
2118,262.51,1.95,28
2118.125,260.25,2.02,27.04
2118.25,261.92,2.05,26
2118.375,260.7,2.05,25.04
2118.5,259.06,2.03,25
2118.625,262.75,2.01,25.96
2118.75,267.36,2,26
2118.875,266.73,2.02,26.96
2119,267.19,2.06,26
2119.125,268.22,2.1,26
2119.25,258.99,2.13,24
2119.375,247.35,2.16,24
2119.5,241.48,2.2,23
2119.625,239.88,2.22,23.96
2119.75,238.9,2.2,24
2119.875,244.16,2.14,24.96
2120,255.15,2.08,27
2120.125,263.38,2.03,27.96
2120.25,269.03,2,29
2120.375,271.84,1.99,29
2120.5,268.6,1.99,29
2120.625,261.59,1.96,29
2120.75,261.3,1.89,29
2120.875,268.42,1.81,28.04
2121,276.4,1.76,29
2121.125,280.89,1.73,29
2121.25,280.65,1.73,30
2121.375,276.18,1.74,31.93
2121.5,278.27,1.75,34
2121.625,297.53,1.77,34.96
2121.75,332.35,1.79,35
2121.875,362.47,1.82,35
2122,373.87,1.87,36
2122.125,358.15,1.96,36.96
